Kod,Ders,Öğretim Yöntemi,Eğitmen,Gün,Saat,Bina,Bölüm Sınırlaması,CRN
EEF 262E,Fundamentals of Electronics,Fiziksel,-,Monday | Tuesday,08:30/10:29 | 08:30/10:29,EEB / EEB / 5302 / 5302,"EHBE_LS, ELKE_LS, KOME_LS, ROSE_LS",21648
EEF 262E,Fundamentals of Electronics,Fiziksel,-,Monday | Tuesday,08:30/10:29 | 08:30/10:29,EEB / EEB / 5304 / 5304,"EHBE_LS, ELKE_LS, KOME_LS, ROSE_LS",21649
EEF 262E,Fundamentals of Electronics,Fiziksel,-,Monday | Tuesday,08:30/10:29 | 08:30/10:29,EEB / EEB / 5204 / 5204,"EHBE_LS, ELKE_LS, KOME_LS, ROSE_LS",21650
EEF 271E,Probability and Statistics,Fiziksel,-,Wednesday,12:30/15:29,EEB / 5302,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",21651
EEF 271E,Probability and Statistics,Fiziksel,-,Wednesday,12:30/15:29,EEB / 5204,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",21652
EEF 281,Lineer Cebir ve Uygulamaları,Fiziksel,-,Thursday,12:30/15:29,EEB / 2102,"EHB_LS, ELK_LS, KOM_LS, ROS_LS",21653
EEF 281,Lineer Cebir ve Uygulamaları,Fiziksel,-,Thursday,12:30/15:29,EEB / 2104,"EHB_LS, ELK_LS, KOM_LS, ROS_LS",21654
EEF 281E,Linear Algebra & Applications,Fiziksel,-,Thursday,12:30/15:29,EEB / 4104,"EHBE_LS, ELKE_LS, KOME_LS, ROS_LS, ROSE_LS",21655
EEF 281E,Linear Algebra & Applications,Fiziksel,-,Thursday,12:30/15:29,EEB / 5203,"EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",21656
EEF 281E,Linear Algebra & Applications,Fiziksel,-,Thursday,12:30/15:29,EEB / 5301,"EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",21657
EEF 281E,Linear Algebra & Applications,Fiziksel,-,Thursday,12:30/15:29,EEB / 2106,"EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",21658
EGC 303E,"Geohazards, Risks, and Resilience",Fiziksel,"Cengiz Yıldırım , / Mehmet Sinan Özeren , / Ömer Kamacı",Tuesday,17:30/20:29,AYBE / --,"BIO_LS, BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, ECNE_LS, EGC_YD, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENT_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, FIZE_LS, GEM_LS, GEME_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEFE_LS, JEO_LS, JEOE_LS, KIM_LS, KIME_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, MAD_LS, MADE_LS, MAK_LS, MAKE_LS, MAT_LS, MATE_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, MTOE_LS, PEM_LS, PEME_LS, PET_LS, PETE_LS, ROS_LS, ROSE_LS, SBP_LS, SBPE_LS, SECE_LS, TEK_LS, TEKE_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS",21085
EGC 304E,Earth Futures: Sustainability and Policy,Fiziksel,Emrah Çoraman,Wednesday,17:30/20:29,AYBE / --,"BIO_LS, BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, ECNE_LS, EGC_YD, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENT_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, FIZE_LS, GEM_LS, GEME_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEFE_LS, JEO_LS, JEOE_LS, KIM_LS, KIME_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, MAD_LS, MADE_LS, MAK_LS, MAKE_LS, MAT_LS, MATE_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, MTOE_LS, PEM_LS, PEME_LS, PET_LS, PETE_LS, ROS_LS, ROSE_LS, SBP_LS, SBPE_LS, SECE_LS, TEK_LS, TEKE_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS",20993
EHB 208,Veri Yapıları ve Programlama,Fiziksel,-,Friday,14:00/16:59,EEB / 5102,"EHB_LS, ELK_LS, KOM_LS, TEL_LS",21959
EHB 208E,Data Structures & Programming,Fiziksel,-,Friday,14:00/16:59,EEB / 5204,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS",21960
EHB 208E,Data Structures & Programming,Fiziksel,-,Friday,14:00/16:59,EEB / --,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS",21962
EHB 208E,Data Structures & Programming,Fiziksel,-,Friday,14:00/16:59,EEB / 5304,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS",21968
EHB 222E,Introduction to Electronics,Fiziksel,Muhammet Tahir Güneşer,Monday,08:30/11:29,EEB / 4102,"EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, MKN_LS, ROS_LS, ROSE_LS, TEL_LS",21971
EHB 227E,Introduction to Optics,Fiziksel,Fatma İnci Çilesiz,Thursday,08:30/11:29,EEB / 5203,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",21990
EHB 308,Haberleşme-II,Fiziksel,-,Thursday,12:30/15:29,EEB / 5201,EHB_LS,21993
EHB 308E,Communication II,Fiziksel,-,Thursday,12:30/15:29,EEB / 5207,"EEE_LS, EHB_LS, EHBE_LS",21996
EHB 308E,Communication II,Fiziksel,-,Thursday,12:30/15:29,EEB / 5103,"EEE_LS, EHB_LS, EHBE_LS",21999
EHB 311E,Intr.to Electronics Laboratory,Fiziksel,Ali Bahadır,Friday,10:30/12:29,EEB / --,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, KOM_LS, KOME_LS",22002
EHB 311E,Intr.to Electronics Laboratory,Fiziksel,Hasan Bülent Yağcı,Friday,10:30/12:29,EEB / --,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, KOM_LS, KOME_LS",22004
EHB 311E,Intr.to Electronics Laboratory,Fiziksel,Hasan Bülent Yağcı,Friday,14:00/15:59,EEB / --,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, KOM_LS, KOME_LS",22005
EHB 311E,Intr.to Electronics Laboratory,Fiziksel,Bilgi Görkem Yazgaç,Friday,14:00/15:59,EEB / --,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, KOM_LS, KOME_LS",22006
EHB 322E,Digital Electronic Circuits,Fiziksel,-,Monday,12:30/15:29,EEB / 6309,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, ELE_LS, ELH_LS",22007
EHB 322E,Digital Electronic Circuits,Fiziksel,-,Monday,12:30/15:29,EEB / 4102,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, ELE_LS, ELH_LS",22010
EHB 322E,Digital Electronic Circuits,Fiziksel,-,Monday,12:30/15:29,EEB / 5203,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, ELE_LS, ELH_LS",22014
EHB 332E,Network Synthesis,Fiziksel,Ece Olcay Güneş,Monday,08:30/11:29,EEB / 5203,"EHB_LS, EHBE_LS, ELE_LS, ELH_LS",23602
EHB 334E,Random Signals and Noise,Fiziksel,Tayfun Akgül,Tuesday,12:30/15:29,EEB / 4102,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS, TEL_LS",22017
EHB 354E,Object Oriented Programming,Online,Mehmet Çayören,Tuesday,08:30/11:29,EEB / 2106,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, KOM_LS, KOME_LS, TEL_LS",23603
EHB 362,Mikrodalga Mühendisliği,Fiziksel,-,Wednesday,12:30/15:29,EEB / 2102,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, TEL_LS",22020
EHB 362E,Microwave Engineering,Fiziksel,-,Wednesday,12:30/15:29,EEB / 2104,"EEE_LS, EHB_LS, EHBE_LS",22021
EHB 362E,Microwave Engineering,Fiziksel,-,Wednesday,12:30/15:29,EEB / 2106,"EEE_LS, EHB_LS, EHBE_LS",22022
EHB 408E,Wireless Com.Networks,Fiziksel,Ferkan Yılmaz,Monday,08:30/11:29,EEB / 5103,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, TEL_LS",22023
EHB 420E,Artificial Neural Networks,Fiziksel,İsa Yıldırım,Friday,14:00/16:59,EEB / 6309,"EHB_LS, EHBE_LS, EHS_LS, TEL_LS",22026
EHB 420E,Artificial Neural Networks,Fiziksel,Ömer Melih Gül,Friday,14:00/16:59,EEB / 2106,"EHB_LS, EHBE_LS, EHS_LS, TEL_LS",22028
EHB 425E,VLSI Circuit Design II,Fiziksel,Sıddıka Berna Örs Yalçın,Monday,08:30/11:29,EEB / 5105,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS",22030
EHB 427E,Microelectronics Technology,Fiziksel,Ahmet Can Erten,Wednesday,08:30/11:29,EEB / 5203,"EEE_LS, EHB_LS, EHBE_LS",22032
EHB 429E,Communication Electronic Circuits,Fiziksel,Hasan Bülent Yağcı,Monday,12:30/15:29,EEB / 5101,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS",22033
EHB 431E,Design & Appl.Digital Com.Sys.,Fiziksel,Hakan Ali Çırpan,Thursday,08:30/12:29,EEB / 5303,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, TEL_LS",22034
EHB 437,Biyomedikal Düzenler,Fiziksel,Zümray Ölmez,Thursday,13:30/16:29,EEB / 5105,"EHB_LS, ELE_LS, ELH_LS, KOM_LS, ROS_LS",22035
EHB 440E,Comp.Aided Devices in Medicine,Fiziksel,Onur Ergen,Tuesday,12:30/15:29,EEB / 2102,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS",22036
EHB 445,Tıbbi Enstr. Tasarım ve Uyg.,Fiziksel,Tamer Ölmez,Tuesday,12:30/16:29,EEB / 5203,"EHB_LS, ELE_LS",22037
EHB 453E,Intr.to Mobile Communications,Fiziksel,Mustafa Ergen,Wednesday,12:30/15:29,EEB / 5201,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, ROS_LS, ROSE_LS, TEL_LS",22038
EHB 455,Mikrodenetleyici Tem.Sist.Tas.,Fiziksel,Tamer Ölmez,Thursday,08:30/11:29,EEB / 2102,"EHB_LS, KOM_LS, KON_LS",22039
EHB 456E,Antennas,Fiziksel,Kamil Karaçuha,Thursday,08:30/11:29,EEB / 5204,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, TEL_LS",22040
EHB 456E,Antennas,Fiziksel,Semih Doğu,Friday,08:30/11:29,EEB / 5302,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, TEL_LS",22041
EHB 464E,Satellite Communications,Fiziksel,Mesut Kartal,Thursday,12:30/15:29,EEB / 5303,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, TEL_LS",22043
EHB 465E,Fiberoptic Com. Systems,Fiziksel,Onur Kurt,Friday,08:30/11:29,EEB / 5102,"EEE_LS, EHB_LS, EHBE_LS",23604
EHB 466E,Remote Sensing,Fiziksel,İbrahim Çatalkaya,Tuesday,08:30/11:29,EEB / 5201,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS, TEL_LS",23606
EHB 474E,Introduction to Optimization,Fiziksel,Mehmet Nuri Akıncı,Wednesday,08:30/11:29,EEB / 2104,"EEE_LS, EHB_LS, EHBE_LS, KOM_LS, KOME_LS, KON_LS, ROS_LS, ROSE_LS",23607
EHB 4901,Elektronik & Hab. Müh. Tas .I,Fiziksel,Hakan Ali Çırpan,-,-/-,- / -,EHB_LS,23610
EHB 4901E,Elect.&Comm. Eng. Design I,Fiziksel,Hakan Ali Çırpan,-,-/-,- / -,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS",23611
EHB 4902,Elektronik & Hab. Müh. Tas .II,Fiziksel,Hakan Ali Çırpan,-,-/-,- / -,EHB_LS,23612
EHB 4902E,Elect.&Comm. Eng. Design II,Fiziksel,Hakan Ali Çırpan,-,-/-,- / -,"EEE_LS, EHB_LS, EHBE_LS, EHS_LS",23614
EHB 492,Bitirme Projesi,Fiziksel,Hakan Ali Çırpan,-,-/-,- / -,EHB_LS,23616
EHB 492E,Graduation Project,Fiziksel,Hakan Ali Çırpan,-,-/-,- / -,"EHB_LS, EHBE_LS",23618
EHN 101,Engineering Ethics,Fiziksel,Tayfun Akgül,Tuesday,11:30/12:29,EEB / 1303,EHN_LS,21941
EHN 105,Intr to Sci&Eng Comp (C),Fiziksel,Serkan Şimşek,Thursday | Thursday,08:30/10:29 | 14:30/16:29,EEB / EEB / 1303 / 1303,EHN_LS,21944
EHN 121,Fundamentals of Eng. Dsgn.,Fiziksel,İsmail Serdar Özoğuz,Monday,12:30/14:29,EEB / 1303,EHN_LS,21946
EHN 313,Electromagnetic Waves,Fiziksel,İbrahim Akduman,Tuesday,08:30/11:29,EEB / 1303,EHN_LS,21948
EHN 316,Electronic Devices,Fiziksel,Mustafa Berke Yelten,Tuesday | Friday,13:30/15:29 | 14:00/16:59,EEB / EEB / 1303 / 1303,EHN_LS,21950
EHN 334,Random Signals and Noise,Fiziksel,Hakan Ali Çırpan,Wednesday,12:30/15:29,EEB / 1303,EHN_LS,21953
EHN 351,Analog Communications,Fiziksel,Ender Mete Ekşioğlu,Thursday,08:30/11:29,EEB / 1301,EHN_LS,21955
EKO 201,Ekonomi,Fiziksel,Sinan Çakır,Tuesday,08:30/11:29,DZB / --,GMI_LS,23282
EKO 201E,Economics,Online,-,Monday,08:30/11:29,MED / --,"ARC_LS, BLG_LS, BLGE_LS, CEN_LS, CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, EEE_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, IAD_LS, ICM_LS, IML_LS, IMLE_LS, IND_LS, INS_LS, INSE_LS, JEF_LS, JEO_LS, JEOE_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, MAD_LS, MADE_LS, MAK_LS, MAKE_LS, MAT_LS, MATE_LS, MEN_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, MTOE_LS, PEM_LS, PEME_LS, PET_LS, PETE_LS, SBP_LS, SBPE_LS, TEK_LS, TEKE_LS, TEL_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS",20868
EKO 201E,Economics,Online,-,Tuesday,08:30/11:29,MED / --,"ARC_LS, BLG_LS, BLGE_LS, CEN_LS, CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, EEE_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, IAD_LS, ICM_LS, IML_LS, IMLE_LS, IND_LS, INS_LS, INSE_LS, JEF_LS, JEO_LS, JEOE_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, MAD_LS, MADE_LS, MAK_LS, MAKE_LS, MAT_LS, MATE_LS, MEN_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, MTOE_LS, PEM_LS, PEME_LS, PET_LS, PETE_LS, SBP_LS, SBPE_LS, TEK_LS, TEKE_LS, TEL_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS",20869
EKO 201E,Economics,Online,-,Wednesday,08:30/11:29,MED / --,"ARC_LS, BLG_LS, BLGE_LS, CEN_LS, CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, EEE_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, IAD_LS, ICM_LS, IML_LS, IMLE_LS, IND_LS, INS_LS, INSE_LS, JEF_LS, JEO_LS, JEOE_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, MAD_LS, MADE_LS, MAK_LS, MAKE_LS, MAT_LS, MATE_LS, MEN_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, MTOE_LS, PEM_LS, PEME_LS, PET_LS, PETE_LS, SBP_LS, SBPE_LS, TEK_LS, TEKE_LS, TEL_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS",20870
EKO 201E,Economics,Online,-,Thursday,08:30/11:29,MED / --,"ARC_LS, BLG_LS, BLGE_LS, CEN_LS, CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, EEE_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, IAD_LS, ICM_LS, IML_LS, IMLE_LS, IND_LS, INS_LS, INSE_LS, JEF_LS, JEO_LS, JEOE_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, MAD_LS, MADE_LS, MAK_LS, MAKE_LS, MAT_LS, MATE_LS, MEN_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, MTOE_LS, PEM_LS, PEME_LS, PET_LS, PETE_LS, SBP_LS, SBPE_LS, TEK_LS, TEKE_LS, TEL_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS",20871
EKO 201E,Economics,Online,-,Friday,14:30/17:29,MED / --,"ARC_LS, BLG_LS, BLGE_LS, CEN_LS, CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, EEE_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, IAD_LS, ICM_LS, IML_LS, IMLE_LS, IND_LS, INS_LS, INSE_LS, JEF_LS, JEO_LS, JEOE_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, MAD_LS, MADE_LS, MAK_LS, MAKE_LS, MAT_LS, MATE_LS, MEN_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, MTOE_LS, PEM_LS, PEME_LS, PET_LS, PETE_LS, SBP_LS, SBPE_LS, TEK_LS, TEKE_LS, TEL_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS",20872
EKO 201E,Economics,Fiziksel,Levent Kırval,-,-/-,- / -,MEN_LS,24896
ELK 221,Elektrik Mühen. Temelleri,Fiziksel,Fatma Gül Bağrıyanık,Monday,12:30/15:29,EEB / 5205,"GID_LS, IML_LS, ISL_LS, KMM_LS, MAK_LS, MET_LS, TEK_LS, UCK_LS, UZB_LS",21659
ELK 221,Elektrik Mühen. Temelleri,Fiziksel,Ali Sinan Çabuk,Wednesday,08:30/11:29,EEB / 4104,"GID_LS, IML_LS, ISL_LS, KMM_LS, MAK_LS, MET_LS, TEK_LS, UCK_LS, UZB_LS",21660
ELK 221E,Fundamentals of Electric. Eng.,Fiziksel,Cavit Fatih Küçüktezcan,Thursday,12:30/15:29,EEB / 5101,"GID_LS, IML_LS, ISL_LS, KMM_LS, MAK_LS, MET_LS, TEK_LS, UCK_LS, UZB_LS",21661
ELK 221E,Fundamentals of Electric. Eng.,Fiziksel,Ali Sinan Çabuk,Friday,08:30/11:29,EEB / 2102,"GID_LS, IML_LS, ISL_LS, KMM_LS, MAK_LS, MET_LS, TEK_LS, UCK_LS, UZB_LS",21664
ELK 221E,Fundamentals of Electric. Eng.,Fiziksel,Zehra Elif Batman,Wednesday,08:30/11:29,EEB / 5101,"GID_LS, IML_LS, ISL_LS, KMM_LS, MAK_LS, MET_LS, TEK_LS, UCK_LS, UZB_LS",21678
ELK 226,Elektrik-Elektronik Müh. Tem.,Fiziksel,Ali Saffet Altay,Wednesday,08:30/11:29,EEB / 5103,"IML_LS, MAK_LS",21681
ELK 226,Elektrik-Elektronik Müh. Tem.,Fiziksel,Ali Sinan Çabuk,Tuesday,08:30/11:29,EEB / 6309,"IML_LS, MAK_LS",21683
ELK 226,Elektrik-Elektronik Müh. Tem.,Fiziksel,Murat İmeryüz,Friday,08:30/11:29,MKB / A363,"IML_LS, MAK_LS",21687
ELK 226,Elektrik-Elektronik Müh. Tem.,Fiziksel,Ali Saffet Altay,Friday,08:30/11:29,EEB / 2104,"IML_LS, MAK_LS",21692
ELK 226E,Fund.of Electri.& Electro.Eng.,Fiziksel,Yusuf Yaşa,Wednesday,08:30/11:29,EEB / 5105,"IML_LS, IMLE_LS, MAK_LS, MAKE_LS",21694
ELK 234E,Thermodynamics &Hydrodynamics,Fiziksel,Ahmet Cansız,Tuesday,12:30/15:29,EEB / 5201,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS",21697
ELK 308E,Comp. Networks for Power Syst.,Fiziksel,Cavit Fatih Küçüktezcan,Monday,08:30/11:29,EEB / 5303,"EEE_LS, ELK_LS, ELKE_LS",21706
ELK 312,Yüksek Gerilim Tekniği,Fiziksel,Şükran Emel Önal,Thursday,08:30/11:29,EEB / 5304,ELK_LS,21709
ELK 312,Yüksek Gerilim Tekniği,Fiziksel,Özcan Kalenderli,Thursday,08:30/11:29,EEB / 5202,ELK_LS,21714
ELK 312E,High Voltage Technique,Fiziksel,Suat İlhan,Thursday,08:30/11:29,EEB / 5302,"EEE_LS, ELKE_LS",21716
ELK 322,Enerji İletim Sistemleri,Fiziksel,-,Monday,12:30/15:29,EEB / 5307,ELK_LS,21718
ELK 322,Enerji İletim Sistemleri,Fiziksel,-,Monday,12:30/15:29,EEB / 5301,ELK_LS,21720
ELK 322E,Power Transmission Systems,Fiziksel,-,Monday,12:30/15:29,EEB / 5303,"EEE_LS, ELKE_LS",21722
ELK 322E,Power Transmission Systems,Fiziksel,-,Monday,12:30/15:29,EEB / 5305,"EEE_LS, ELKE_LS",21724
ELK 336E,Quantum Computation,Fiziksel,Deniz Türkpençe,Friday,14:00/16:59,EEB / 5302,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS",21727
ELK 342,Güç Elektroniği Laboratuvarı,Fiziksel,Mehmet Onur Gülbahçe,Friday,14:30/16:29,EEB / --,"ELK_LS, KOM_LS",21732
ELK 342,Güç Elektroniği Laboratuvarı,Fiziksel,Derya Ahmet Kocabaş,Friday,10:30/12:29,EEB / --,"ELK_LS, KOM_LS",21735
ELK 342,Güç Elektroniği Laboratuvarı,Fiziksel,Mehmet Onur Gülbahçe,Thursday,12:30/14:29,EEB / --,"ELK_LS, KOM_LS",21737
ELK 342E,Power Electronics Laboratory,Fiziksel,Salih Barış Öztürk,Monday,08:30/10:29,EEB / --,"ELK_LS, ELKE_LS, KOM_LS, KOME_LS",21739
ELK 342E,Power Electronics Laboratory,Fiziksel,Mehmet Onur Gülbahçe,Friday,08:30/10:29,EEB / --,"ELK_LS, ELKE_LS, KOM_LS, KOME_LS",21741
ELK 346E,Data Acquisition&Embed. Syst.,Fiziksel,Aydın Tarık Zengin,Friday,08:30/11:29,EEB / 5305,"EEE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS",21743
ELK 356,Elektrik Makinaları,Fiziksel,-,Wednesday,08:30/11:29,EEB / 5305,"ELK_LS, KOM_LS",21747
ELK 356,Elektrik Makinaları,Fiziksel,-,Wednesday,08:30/11:29,EEB / 5303,"ELK_LS, KOM_LS",21750
ELK 356E,Electrical Machines,Fiziksel,-,Wednesday,08:30/11:29,EEB / 5307,"EEE_LS, ELKE_LS, KOME_LS",21751
ELK 364E,Fund. of Super Conductivity,Fiziksel,Ahmet Cansız,Wednesday,12:30/15:29,EEB / 5303,"EEE_LS, ELK_LS, ELKE_LS",21753
ELK 406,Elektrik Enerjisi Dağıtımı,Fiziksel,-,Tuesday,08:30/11:29,EEB / 5301,ELK_LS,21755
ELK 406,Elektrik Enerjisi Dağıtımı,Fiziksel,-,Tuesday,08:30/11:29,EEB / 5303,ELK_LS,21756
ELK 406,Elektrik Enerjisi Dağıtımı,Fiziksel,-,Tuesday,08:30/11:29,EEB / 5305,ELK_LS,21758
ELK 406E,Distribution of Electr. Energy,Fiziksel,-,Tuesday,08:30/11:29,EEB / 5307,"EEE_LS, ELKE_LS",21759
ELK 414,Elk. Mak. Aşırı Zorlanmalar,Fiziksel,Güven Kömürgöz Kırış,Wednesday,12:30/15:29,EEB / 5307,ELK_LS,21761
ELK 420,Elektrik Dağıtım Otomas. Lab.,Fiziksel,Fatma Gül Bağrıyanık,Wednesday,12:30/14:29,EEB / --,ELK_LS,21764
ELK 420,Elektrik Dağıtım Otomas. Lab.,Fiziksel,Fatma Gül Bağrıyanık,Tuesday,12:30/14:29,EEB / --,ELK_LS,21772
ELK 420E,Electr. Distrib. Autom. Lab.,Fiziksel,Zehra Elif Batman,Tuesday,14:30/16:29,EEB / --,ELK_LS,21774
ELK 420E,Electr. Distrib. Autom. Lab.,Fiziksel,Zehra Elif Batman,Friday,14:30/16:29,EEB / --,"ELK_LS, ELKE_LS",21777
ELK 428,Elektrikli ve Karma Taşıtlar,Fiziksel,Murat Yılmaz,Friday,08:30/11:29,EEB / 5303,"ELK_LS, ROS_LS",21780
ELK 453E,Ind. Appl. of Power Electron.,Fiziksel,Salih Barış Öztürk,Thursday,12:30/15:29,EEB / 5305,"EEE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",21783
ELK 458,Elektrik Mühendisliği Projesi,Fiziksel,Mehmet Onur Gülbahçe,Wednesday,08:30/11:29,EEB / 1301,ELK_LS,21789
ELK 458,Elektrik Mühendisliği Projesi,Fiziksel,Banu Uçar,Monday,08:30/11:29,EEB / 5301,ELK_LS,21791
